# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
# 370:         5.377       51.451      22.60  EINDHOVEN
# 331:         4.193       51.480       0.00  THOLEN
# 315:         3.998       51.447       0.00  HANSWEERT
# 324:         4.006       51.596       0.00  STAVENISSE
# 375:         5.707       51.659      22.00  VOLKEL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
# 310:         3.596       51.442       8.00  VLISSINGEN
# 283:         6.657       52.069      29.10  HUPSEL
# 280:         6.585       53.125       5.20  EELDE
# 273:         5.888       52.703      -3.30  MARKNESSE
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 249:         4.979       52.644      -2.40  BERKHOUT
# 377:         5.763       51.198      30.00  ELL
# 316:         3.694       51.657       0.00  SCHAAR
# 313:         3.242       51.505       0.00  VLAKTE V.D. RAAN
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 348:         4.926       51.970      -0.70  CABAUW
# 308:         3.379       51.381       0.00  CADZAND
# 319:         3.861       51.226       1.70  WESTDORPE
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
# 278:         6.259       52.435       3.60  HEINO
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 343:         4.313       51.893       3.50  R'DAM-GEULHAVEN
# 225:         4.555       52.463       4.40  IJMUIDEN
# 330:         4.122       51.992      11.90  HOEK VAN HOLLAND
# 267:         5.384       52.898      -1.30  STAVOREN
# 269:         5.520       52.458      -3.70  LELYSTAD
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 275:         5.873       52.056      48.20  DEELEN
# 235:         4.781       52.928       1.20  DE KOOY
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 290:         6.891       52.274      34.80  TWENTHE
# 350:         4.936       51.566      14.90  GILZE-RIJEN
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 210:         4.430       52.171      -0.20  VALKENBURG
# 248:         5.174       52.634       0.80  WIJDENES
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 258:         5.401       52.649       7.30  HOUTRIBDIJK
# 356:         5.146       51.859       0.70  HERWIJNEN
# 209:         4.518       52.465       0.00  IJMOND
# 265:         5.274       52.130      13.90  SOESTERBERG
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 340:         4.342       51.449      19.20  WOENSDRECHT
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 311:         3.672       51.379       0.00  HOOFDPLAAT
# 242:         4.921       53.241      10.80  VLIELAND
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   HH,   DR,   RH
# 
  310,20200406,    2,    0,    0
  310,20200406,    3,    0,    0
  310,20200406,    4,    0,    0
  310,20200406,    5,    0,    0
  310,20200406,    6,    0,    0
  310,20200406,    7,    0,    0
  310,20200406,    8,    0,    0
  310,20200406,    9,    0,    0
  310,20200406,   10,    0,    0
  310,20200406,   11,    0,    0
  310,20200406,   12,    0,    0
  310,20200406,   13,    0,    0
  310,20200406,   14,    0,    0
  310,20200406,   15,    0,   -1
  310,20200406,   16,    0,    0
  310,20200406,   17,    0,    0
  310,20200406,   18,    0,    0
  310,20200406,   19,    0,    0
  310,20200406,   20,    0,    0
  310,20200406,   21,    0,    0
  310,20200406,   22,    0,    0
  310,20200406,   23,    0,    0
  310,20200406,   24,    0,    0
  310,20200407,    1,    0,    0
  310,20200407,    2,    0,    0
  310,20200407,    3,    0,    0
  310,20200407,    4,    0,    0
  310,20200407,    5,    0,    0
  310,20200407,    6,    0,    0
  310,20200407,    7,    0,    0
  310,20200407,    8,    0,    0
  310,20200407,    9,    0,    0
  310,20200407,   10,    0,    0
  310,20200407,   11,    0,    0
  310,20200407,   12,    0,    0
  310,20200407,   13,    0,    0
  310,20200407,   14,    0,    0
  310,20200407,   15,    0,    0
  310,20200407,   16,    0,    0
  310,20200407,   17,    0,    0
  310,20200407,   18,    0,    0
  310,20200407,   19,    0,    0
  310,20200407,   20,    0,    0
  310,20200407,   21,    0,    0
  310,20200407,   22,    0,    0
  310,20200407,   23,    0,    0
  310,20200407,   24,    0,    0
  310,20200408,    1,    0,    0
  310,20200408,    2,    0,    0
  310,20200408,    3,    0,    0
  310,20200408,    4,    0,    0
  310,20200408,    5,    0,    0
  310,20200408,    6,    0,    0
  310,20200408,    7,    0,    0
  310,20200408,    8,    0,    0
  310,20200408,    9,    0,    0
  310,20200408,   10,    0,    0
  310,20200408,   11,    0,    0
  310,20200408,   12,    0,    0
  310,20200408,   13,    0,    0
  310,20200408,   14,    0,    0
  310,20200408,   15,    0,    0
  310,20200408,   16,    0,    0
  310,20200408,   17,    0,    0
  310,20200408,   18,    0,    0
  310,20200408,   19,    0,    0
  310,20200408,   20,    0,    0
  310,20200408,   21,    0,    0
  310,20200408,   22,    0,    0
  310,20200408,   23,    0,    0
  310,20200408,   24,    0,    0
  310,20200409,    1,    0,    0
  310,20200409,    2,    0,    0
  310,20200409,    3,    0,    0
  310,20200409,    4,    0,    0
  310,20200409,    5,    0,    0
  310,20200409,    6,    0,    0
  310,20200409,    7,    0,    0
  310,20200409,    8,    0,    0
  310,20200409,    9,    0,    0
  310,20200409,   10,    0,    0
  310,20200409,   11,    0,    0
  310,20200409,   12,    0,    0
  310,20200409,   13,    0,    0
  310,20200409,   14,    0,    0
  310,20200409,   15,    0,    0
  310,20200409,   16,    0,    0
  310,20200409,   17,    0,    0
  310,20200409,   18,    0,    0
  310,20200409,   19,    0,    0
  310,20200409,   20,    0,    0
  310,20200409,   21,    0,    0
  310,20200409,   22,    0,    0
  310,20200409,   23,    0,    0
  310,20200409,   24,    0,    0
  310,20200410,    1,    0,    0
  310,20200410,    2,    0,    0
  310,20200410,    3,    0,    0
  310,20200410,    4,    0,    0
  310,20200410,    5,    0,    0
  310,20200410,    6,    0,    0
  310,20200410,    7,    0,    0
  310,20200410,    8,    0,    0
  310,20200410,    9,    0,    0
  310,20200410,   10,    0,    0
  310,20200410,   11,    0,    0
  310,20200410,   12,    0,    0
  310,20200410,   13,    0,    0
  310,20200410,   14,    0,    0
  310,20200410,   15,    0,    0
  310,20200410,   16,    0,    0
  310,20200410,   17,    0,    0
  310,20200410,   18,    0,    0
  310,20200410,   19,    0,    0
  310,20200410,   20,    0,    0
  310,20200410,   21,    0,    0
  310,20200410,   22,    0,    0
  310,20200410,   23,    0,    0
  310,20200410,   24,    0,    0
  310,20200411,    1,    0,    0
  310,20200411,    2,    0,    0
  310,20200411,    3,    0,    0
  310,20200411,    4,    0,    0
  310,20200411,    5,    0,    0
  310,20200411,    6,    0,    0
  310,20200411,    7,    0,    0
  310,20200411,    8,    0,    0
  310,20200411,    9,    0,    0
  310,20200411,   10,    0,    0
  310,20200411,   11,    0,    0
  310,20200411,   12,    0,    0
  310,20200411,   13,    0,    0
  310,20200411,   14,    0,    0
  310,20200411,   15,    0,    0
  310,20200411,   16,    0,    0
  310,20200411,   17,    0,    0
  310,20200411,   18,    0,    0
  310,20200411,   19,    0,    0
  310,20200411,   20,    0,    0
  310,20200411,   21,    0,    0
  310,20200411,   22,    0,    0
  310,20200411,   23,    0,    0
  310,20200411,   24,    0,    0
  310,20200412,    1,    0,    0
  310,20200412,    2,    0,    0
  310,20200412,    3,    0,    0
  310,20200412,    4,    0,    0
  310,20200412,    5,    0,    0
  310,20200412,    6,    0,    0
  310,20200412,    7,    0,    0
  310,20200412,    8,    0,    0
  310,20200412,    9,    0,    0
  310,20200412,   10,    0,    0
  310,20200412,   11,    0,    0
  310,20200412,   12,    0,    0
  310,20200412,   13,    0,    0
  310,20200412,   14,    0,    0
  310,20200412,   15,    0,    0
  310,20200412,   16,    0,    0
  310,20200412,   17,    0,    0
  310,20200412,   18,    0,    0
  310,20200412,   19,    0,    0
  310,20200412,   20,    0,    0
  310,20200412,   21,    0,    0
  310,20200412,   22,    0,    0
  310,20200412,   23,    0,    0
  310,20200412,   24,    0,    0
  310,20200413,    1,    0,    0
  310,20200413,    2,    0,    0
  310,20200413,    3,    0,    0
  310,20200413,    4,    0,    0
  310,20200413,    5,    0,    0
  310,20200413,    6,    0,    0
  310,20200413,    7,    0,    0
  310,20200413,    8,    0,   -1
  310,20200413,    9,    0,    0
  310,20200413,   10,    0,    0
  310,20200413,   11,    0,    0
  310,20200413,   12,    0,    0
  310,20200413,   13,    0,    0
  310,20200413,   14,    0,    0
  310,20200413,   15,    0,    0
  310,20200413,   16,    0,    0
  310,20200413,   17,    0,    0
  310,20200413,   18,    0,    0
  310,20200413,   19,    0,    0
  310,20200413,   20,    0,    0
  310,20200413,   21,    0,    0
  310,20200413,   22,    0,    0
  310,20200413,   23,    0,    0
  310,20200413,   24,    0,    0
  310,20200414,    1,    0,   -1
  310,20200414,    2,    0,    0
  310,20200414,    3,    0,    0
  310,20200414,    4,    0,    0
  310,20200414,    5,    0,    0
  310,20200414,    6,    0,    0
  310,20200414,    7,    0,    0
  310,20200414,    8,    0,    0
  310,20200414,    9,    0,   -1
  310,20200414,   10,    0,    0
  310,20200414,   11,    0,    0
  310,20200414,   12,    0,    0
  310,20200414,   13,    0,    0
  310,20200414,   14,    0,    0
  310,20200414,   15,    0,    0
  310,20200414,   16,    0,    0
  310,20200414,   17,    0,    0
  310,20200414,   18,    0,    0
  310,20200414,   19,    0,    0
  310,20200414,   20,    0,    0
  310,20200414,   21,    0,    0
  310,20200414,   22,    0,    0
  310,20200414,   23,    0,    0
  310,20200414,   24,    0,    0
  310,20200415,    1,    0,    0
  310,20200415,    2,    0,    0
  310,20200415,    3,    0,    0
  310,20200415,    4,    0,    0
  310,20200415,    5,    0,    0
  310,20200415,    6,    0,    0
  310,20200415,    7,    0,    0
  310,20200415,    8,    0,    0
  310,20200415,    9,    0,    0
  310,20200415,   10,    0,    0
  310,20200415,   11,    0,    0
  310,20200415,   12,    0,    0
  310,20200415,   13,    0,    0
  310,20200415,   14,    0,    0
  310,20200415,   15,    0,    0
  310,20200415,   16,    0,    0
  310,20200415,   17,    0,    0
  310,20200415,   18,    0,    0
  310,20200415,   19,    0,    0
  310,20200415,   20,    0,    0
  310,20200415,   21,    0,    0
  310,20200415,   22,    0,    0
  310,20200415,   23,    0,    0
  310,20200415,   24,    0,    0
  310,20200416,    1,    0,    0
  310,20200416,    2,    0,    0
  310,20200416,    3,    0,    0
  310,20200416,    4,    0,    0
  310,20200416,    5,    0,    0
  310,20200416,    6,    0,    0
  310,20200416,    7,    0,    0
  310,20200416,    8,    0,    0
  310,20200416,    9,    0,    0
  310,20200416,   10,    0,    0
  310,20200416,   11,    0,    0
  310,20200416,   12,    0,    0
  310,20200416,   13,    0,    0
  310,20200416,   14,    0,    0
  310,20200416,   15,    0,    0
  310,20200416,   16,    0,    0
  310,20200416,   17,    0,    0
  310,20200416,   18,    0,    0
  310,20200416,   19,    0,    0
  310,20200416,   20,    0,    0
  310,20200416,   21,    0,    0
  310,20200416,   22,    0,    0
  310,20200416,   23,    0,    0
  310,20200416,   24,    0,    0
  310,20200417,    1,    0,    0
  310,20200417,    2,    0,    0
  310,20200417,    3,    0,    0
  310,20200417,    4,    0,    0
  310,20200417,    5,    0,    0
  310,20200417,    6,    0,    0
  310,20200417,    7,    0,    0
  310,20200417,    8,    0,    0
  310,20200417,    9,    0,    0
  310,20200417,   10,    0,    0
  310,20200417,   11,    0,    0
  310,20200417,   12,    0,    0
  310,20200417,   13,    0,    0
  310,20200417,   14,    0,    0
  310,20200417,   15,    0,    0
  310,20200417,   16,    0,    0
  310,20200417,   17,    0,    0
  310,20200417,   18,    0,    0
  310,20200417,   19,    0,    0
  310,20200417,   20,    0,    0
  310,20200417,   21,    0,    0
  310,20200417,   22,    0,   -1
  310,20200417,   23,    3,    1
  310,20200417,   24,    0,   -1
  310,20200418,    1,    0,    0
  310,20200418,    2,    0,    0
  310,20200418,    3,    0,    0
  310,20200418,    4,    0,    0
  310,20200418,    5,    0,    0
  310,20200418,    6,    0,    0
  310,20200418,    7,    0,    0
  310,20200418,    8,    0,    0
  310,20200418,    9,    0,    0
  310,20200418,   10,    9,    9
  310,20200418,   11,   10,   26
  310,20200418,   12,   10,    6
  310,20200418,   13,    0,   -1
  310,20200418,   14,    9,    6
  310,20200418,   15,    4,    4
  310,20200418,   16,    0,    0
  310,20200418,   17,    0,    0
  310,20200418,   18,    0,    0
  310,20200418,   19,    0,    0
  310,20200418,   20,    0,    0
  310,20200418,   21,    0,    0
  310,20200418,   22,    0,    0
  310,20200418,   23,    0,    0
  310,20200418,   24,    0,    0
  310,20200419,    1,    0,    0
  310,20200419,    2,    0,    0
  310,20200419,    3,    0,    0
  310,20200419,    4,    0,   -1
  310,20200419,    5,    0,    0
  310,20200419,    6,    0,    0
  310,20200419,    7,    0,    0
  310,20200419,    8,    0,    0
  310,20200419,    9,    0,    0
  310,20200419,   10,    0,    0
  310,20200419,   11,    0,    0
  310,20200419,   12,    0,    0
  310,20200419,   13,    0,    0
  310,20200419,   14,    0,    0
  310,20200419,   15,    0,    0
  310,20200419,   16,    0,    0
  310,20200419,   17,    0,    0
  310,20200419,   18,    0,    0
  310,20200419,   19,    0,    0
  310,20200419,   20,    0,    0
  310,20200419,   21,    0,    0
  310,20200419,   22,    0,    0
  310,20200419,   23,    0,    0
  310,20200419,   24,    0,    0
  310,20200420,    1,    0,    0
  310,20200420,    2,    0,    0
  310,20200420,    3,    0,    0
  310,20200420,    4,    0,    0
  310,20200420,    5,    0,    0
  310,20200420,    6,    0,    0
  310,20200420,    7,    0,    0
  310,20200420,    8,    0,    0
  310,20200420,    9,    0,    0
  310,20200420,   10,    0,    0
  310,20200420,   11,    0,    0
  310,20200420,   12,    0,    0
  310,20200420,   13,    0,    0
  310,20200420,   14,    0,    0
  310,20200420,   15,    0,    0
  310,20200420,   16,    0,    0
  310,20200420,   17,    0,    0
  310,20200420,   18,    0,    0
  310,20200420,   19,    0,    0
  310,20200420,   20,    0,    0
  310,20200420,   21,    0,    0
  310,20200420,   22,    0,    0
  310,20200420,   23,    0,    0
  310,20200420,   24,    0,    0
  310,20200421,    1,    0,    0
  310,20200421,    2,    0,    0
  310,20200421,    3,    0,    0
  310,20200421,    4,    0,    0
  310,20200421,    5,    0,    0
  310,20200421,    6,    0,    0
  310,20200421,    7,    0,    0
  310,20200421,    8,    0,    0
  310,20200421,    9,    0,    0
  310,20200421,   10,    0,    0
  310,20200421,   11,    0,    0
  310,20200421,   12,    0,    0
  310,20200421,   13,    0,    0
  310,20200421,   14,    0,    0
  310,20200421,   15,    0,    0
  310,20200421,   16,    0,    0
  310,20200421,   17,    0,    0
  310,20200421,   18,    0,    0
  310,20200421,   19,    0,    0
  310,20200421,   20,    0,    0
  310,20200421,   21,    0,    0
  310,20200421,   22,    0,    0
  310,20200421,   23,    0,    0
  310,20200421,   24,    0,    0
  310,20200422,    1,    0,    0
  310,20200422,    2,    0,    0
  310,20200422,    3,    0,    0
  310,20200422,    4,    0,    0
  310,20200422,    5,    0,    0
  310,20200422,    6,    0,    0
  310,20200422,    7,    0,    0
  310,20200422,    8,    0,    0
  310,20200422,    9,    0,    0
  310,20200422,   10,    0,    0
  310,20200422,   11,    0,    0
  310,20200422,   12,    0,    0
  310,20200422,   13,    0,    0
  310,20200422,   14,    0,    0
  310,20200422,   15,    0,    0
  310,20200422,   16,    0,    0
  310,20200422,   17,    0,    0
  310,20200422,   18,    0,    0
  310,20200422,   19,    0,    0
  310,20200422,   20,    0,    0
  310,20200422,   21,    0,    0
  310,20200422,   22,    0,    0
  310,20200422,   23,    0,    0
  310,20200422,   24,    0,    0
  310,20200423,    1,    0,    0
  310,20200423,    2,    0,    0
  310,20200423,    3,    0,    0
  310,20200423,    4,    0,    0
  310,20200423,    5,    0,    0
  310,20200423,    6,    0,    0
  310,20200423,    7,    0,    0
  310,20200423,    8,    0,    0
  310,20200423,    9,    0,    0
  310,20200423,   10,    0,    0
  310,20200423,   11,    0,    0
  310,20200423,   12,    0,    0
  310,20200423,   13,    0,    0
  310,20200423,   14,    0,    0
  310,20200423,   15,    0,    0
  310,20200423,   16,    0,    0
  310,20200423,   17,    0,    0
  310,20200423,   18,    0,    0
  310,20200423,   19,    0,    0
  310,20200423,   20,    0,    0
  310,20200423,   21,    0,    0
  310,20200423,   22,    0,    0
  310,20200423,   23,    0,    0
  310,20200423,   24,    0,    0
  310,20200424,    1,    0,    0
  310,20200424,    2,    0,    0
  310,20200424,    3,    0,    0
  310,20200424,    4,    0,    0
  310,20200424,    5,    0,    0
  310,20200424,    6,    0,    0
  310,20200424,    7,    0,    0
  310,20200424,    8,    0,    0
  310,20200424,    9,    0,    0
  310,20200424,   10,    0,    0
  310,20200424,   11,    0,    0
  310,20200424,   12,    0,    0
  310,20200424,   13,    0,    0
  310,20200424,   14,    0,    0
  310,20200424,   15,    0,    0
  310,20200424,   16,    0,    0
  310,20200424,   17,    0,    0
  310,20200424,   18,    0,    0
  310,20200424,   19,    0,    0
  310,20200424,   20,    0,    0
  310,20200424,   21,    0,    0
  310,20200424,   22,    0,    0
  310,20200424,   23,    0,    0
  310,20200424,   24,    0,    0
  310,20200425,    1,    0,    0
  310,20200425,    2,    0,    0
  310,20200425,    3,    0,    0
  310,20200425,    4,    0,    0
  310,20200425,    5,    0,    0
  310,20200425,    6,    0,    0
  310,20200425,    7,    0,    0
  310,20200425,    8,    0,    0
  310,20200425,    9,    0,    0
  310,20200425,   10,    0,    0
  310,20200425,   11,    0,    0
  310,20200425,   12,    0,    0
  310,20200425,   13,    0,    0
  310,20200425,   14,    0,    0
  310,20200425,   15,    0,    0
  310,20200425,   16,    0,    0
  310,20200425,   17,    0,    0
  310,20200425,   18,    0,    0
  310,20200425,   19,    0,    0
  310,20200425,   20,    0,    0
  310,20200425,   21,    0,    0
  310,20200425,   22,    0,    0
  310,20200425,   23,    0,    0
  310,20200425,   24,    0,    0
  310,20200426,    1,    0,    0
  310,20200426,    2,    0,    0
  310,20200426,    3,    0,    0
  310,20200426,    4,    0,    0
  310,20200426,    5,    0,    0
  310,20200426,    6,    0,    0
  310,20200426,    7,    0,    0
  310,20200426,    8,    0,    0
  310,20200426,    9,    0,    0
  310,20200426,   10,    0,    0
  310,20200426,   11,    0,    0
  310,20200426,   12,    0,    0
  310,20200426,   13,    0,    0
  310,20200426,   14,    0,    0
  310,20200426,   15,    0,    0
  310,20200426,   16,    0,    0
  310,20200426,   17,    0,    0
  310,20200426,   18,    0,    0
  310,20200426,   19,    0,    0
  310,20200426,   20,    0,    0
  310,20200426,   21,    0,    0
  310,20200426,   22,    0,    0
  310,20200426,   23,    0,    0
  310,20200426,   24,    0,    0
  310,20200427,    1,    0,    0
  310,20200427,    2,    0,    0
  310,20200427,    3,    0,    0
  310,20200427,    4,    0,    0
  310,20200427,    5,    0,    0
  310,20200427,    6,    0,    0
  310,20200427,    7,    0,    0
  310,20200427,    8,    0,    0
  310,20200427,    9,    0,    0
  310,20200427,   10,    0,    0
  310,20200427,   11,    0,    0
  310,20200427,   12,    0,    0
  310,20200427,   13,    0,    0
  310,20200427,   14,    0,    0
  310,20200427,   15,    0,    0
  310,20200427,   16,    0,    0
  310,20200427,   17,    0,    0
  310,20200427,   18,    0,    0
  310,20200427,   19,    0,    0
  310,20200427,   20,    0,    0
  310,20200427,   21,    0,    0
  310,20200427,   22,    0,    0
  310,20200427,   23,    0,    0
  310,20200427,   24,    0,    0
  310,20200428,    1,    0,    0
  310,20200428,    2,    0,    0
  310,20200428,    3,    0,    0
  310,20200428,    4,    0,   -1
  310,20200428,    5,    0,   -1
  310,20200428,    6,    0,   -1
  310,20200428,    7,    5,    2
  310,20200428,    8,    8,    5
  310,20200428,    9,   10,    8
  310,20200428,   10,    0,   -1
  310,20200428,   11,    0,    0
  310,20200428,   12,    9,   11
  310,20200428,   13,    9,    2
  310,20200428,   14,    0,   -1
  310,20200428,   15,    0,   -1
  310,20200428,   16,    0,    0
  310,20200428,   17,    0,    0
  310,20200428,   18,    0,    0
  310,20200428,   19,    0,    0
  310,20200428,   20,    0,    0
  310,20200428,   21,    0,    0
  310,20200428,   22,    0,   -1
  310,20200428,   23,    0,    0
  310,20200428,   24,    0,    0
  310,20200429,    1,    0,    0
  310,20200429,    2,    0,    0
  310,20200429,    3,    4,    1
  310,20200429,    4,    0,   -1
  310,20200429,    5,    7,    2
  310,20200429,    6,    3,    1
  310,20200429,    7,    4,    5
  310,20200429,    8,    2,    3
  310,20200429,    9,    0,    0
  310,20200429,   10,    0,    0
  310,20200429,   11,    0,    0
  310,20200429,   12,    0,    0
  310,20200429,   13,    0,    0
  310,20200429,   14,    0,    0
  310,20200429,   15,    0,    0
  310,20200429,   16,    8,    4
  310,20200429,   17,   10,    1
  310,20200429,   18,    9,    1
  310,20200429,   19,   10,    4
  310,20200429,   20,    8,    2
  310,20200429,   21,    0,   -1
  310,20200429,   22,    0,    0
  310,20200429,   23,    0,    0
  310,20200429,   24,    0,    0
  310,20200430,    1,    0,    0
  310,20200430,    2,    0,    0
  310,20200430,    3,    0,   -1
  310,20200430,    4,   10,   10
  310,20200430,    5,    0,   -1
  310,20200430,    6,    2,    4
  310,20200430,    7,    0,   -1
  310,20200430,    8,    2,    2
  310,20200430,    9,    3,    4
  310,20200430,   10,    0,    0
  310,20200430,   11,    0,    0
  310,20200430,   12,    0,    0
  310,20200430,   13,    0,    0
  310,20200430,   14,    0,    0
  310,20200430,   15,    0,   -1
  310,20200430,   16,    2,    5
  310,20200430,   17,    2,    5
  310,20200430,   18,    5,    2
  310,20200430,   19,    0,   -1
  310,20200430,   20,    0,   -1
  310,20200430,   21,    0,    0
  310,20200430,   22,    0,    0
  310,20200430,   23,    0,    0
  310,20200430,   24,    0,    0
  310,20200501,    1,    0,    0
  310,20200501,    2,    1,    2
  310,20200501,    3,    2,    1
  310,20200501,    4,    0,    0
  310,20200501,    5,    0,   -1
  310,20200501,    6,    2,    1
  310,20200501,    7,    7,   10
  310,20200501,    8,    4,    2
  310,20200501,    9,    2,   11
  310,20200501,   10,    3,   17
  310,20200501,   11,    0,    0
  310,20200501,   12,    0,    0
  310,20200501,   13,    0,    0
  310,20200501,   14,    0,    0
  310,20200501,   15,    0,    0
  310,20200501,   16,    0,    0
  310,20200501,   17,    0,    0
  310,20200501,   18,    0,    0
  310,20200501,   19,    0,    0
  310,20200501,   20,    0,    0
  310,20200501,   21,    0,    0
  310,20200501,   22,    0,    0
  310,20200501,   23,    0,    0
  310,20200501,   24,    3,    4
  310,20200502,    1,    0,   -1
  310,20200502,    2,    0,    0
  310,20200502,    3,    0,    0
  310,20200502,    4,    0,    0
  310,20200502,    5,    3,   33
  310,20200502,    6,    7,   13
  310,20200502,    7,    0,   -1
  310,20200502,    8,    0,    0
  310,20200502,    9,    3,    1
  310,20200502,   10,    0,    0
  310,20200502,   11,    0,    0
  310,20200502,   12,    0,    0
  310,20200502,   13,    0,    0
  310,20200502,   14,    0,    0
  310,20200502,   15,    0,    0
  310,20200502,   16,    0,    0
  310,20200502,   17,    0,    0
  310,20200502,   18,    0,    0
  310,20200502,   19,    0,    0
  310,20200502,   20,    0,    0
  310,20200502,   21,    0,    0
  310,20200502,   22,    0,    0
  310,20200502,   23,    0,    0
  310,20200502,   24,    0,    0
  310,20200503,    1,    0,    0
  310,20200503,    2,    0,    0
  310,20200503,    3,    0,    0
  310,20200503,    4,    0,    0
  310,20200503,    5,    0,    0
  310,20200503,    6,    0,    0
  310,20200503,    7,    0,    0
  310,20200503,    8,    0,    0
  310,20200503,    9,    0,    0
  310,20200503,   10,    0,    0
  310,20200503,   11,    0,    0
  310,20200503,   12,    0,    0
  310,20200503,   13,    0,    0
  310,20200503,   14,    0,    0
  310,20200503,   15,    0,    0
  310,20200503,   16,    0,    0
  310,20200503,   17,    0,   -1
  310,20200503,   18,    0,   -1
  310,20200503,   19,    0,    0
  310,20200503,   20,    0,    0
  310,20200503,   21,    0,    0
  310,20200503,   22,    0,    0
  310,20200503,   23,    0,    0
  310,20200503,   24,    0,    0
  310,20200504,    1,    0,   -1
  310,20200504,    2,    0,   -1
  310,20200504,    3,    0,    0
  310,20200504,    4,    0,    0
  310,20200504,    5,    0,    0
  310,20200504,    6,    0,   -1
  310,20200504,    7,    0,    0
  310,20200504,    8,    0,    0
  310,20200504,    9,    0,    0
  310,20200504,   10,    0,    0
  310,20200504,   11,    0,    0
  310,20200504,   12,    0,    0
  310,20200504,   13,    0,    0
  310,20200504,   14,    0,    0
  310,20200504,   15,    0,    0
  310,20200504,   16,    0,    0
  310,20200504,   17,    0,    0
  310,20200504,   18,    0,    0
  310,20200504,   19,    0,    0
  310,20200504,   20,    0,    0
  310,20200504,   21,    0,    0
  310,20200504,   22,    0,    0
  310,20200504,   23,    0,    0
  310,20200504,   24,    0,    0
  310,20200505,    1,    0,    0
  310,20200505,    2,    0,    0
  310,20200505,    3,    0,    0
  310,20200505,    4,    0,    0
  310,20200505,    5,    0,    0
  310,20200505,    6,    0,    0
  310,20200505,    7,    0,    0
  310,20200505,    8,    0,    0
  310,20200505,    9,    0,    0
  310,20200505,   10,    0,    0
  310,20200505,   11,    0,    0
  310,20200505,   12,    0,    0
  310,20200505,   13,    0,    0
  310,20200505,   14,    0,    0
  310,20200505,   15,    0,    0
  310,20200505,   16,    0,    0
  310,20200505,   17,    0,    0
  310,20200505,   18,    0,    0
  310,20200505,   19,    0,    0
  310,20200505,   20,    0,    0
  310,20200505,   21,    0,    0
  310,20200505,   22,    0,    0
  310,20200505,   23,    0,    0
  310,20200505,   24,    0,    0
  310,20200506,    1,    0,    0
  310,20200506,    2,    0,    0
  310,20200506,    3,    0,    0
  310,20200506,    4,    0,    0
  310,20200506,    5,    0,    0
  310,20200506,    6,    0,    0
  310,20200506,    7,    0,    0
  310,20200506,    8,    0,    0
  310,20200506,    9,    0,    0
  310,20200506,   10,    0,    0
  310,20200506,   11,    0,    0
  310,20200506,   12,    0,    0
  310,20200506,   13,    0,    0
  310,20200506,   14,    0,    0
  310,20200506,   15,    0,    0
  310,20200506,   16,    0,    0
  310,20200506,   17,    0,    0
  310,20200506,   18,    0,    0
  310,20200506,   19,    0,    0
  310,20200506,   20,    0,    0
  310,20200506,   21,    0,    0
  310,20200506,   22,    0,    0
  310,20200506,   23,    0,    0
  310,20200506,   24,    0,    0
  310,20200507,    1,    0,    0
  310,20200507,    2,    0,    0
  310,20200507,    3,    0,    0
  310,20200507,    4,    0,    0
  310,20200507,    5,    0,    0
  310,20200507,    6,    0,    0
  310,20200507,    7,    0,    0
  310,20200507,    8,    0,    0
  310,20200507,    9,    0,    0
  310,20200507,   10,    0,    0
  310,20200507,   11,    0,    0
  310,20200507,   12,    0,    0
  310,20200507,   13,    0,    0
  310,20200507,   14,    0,    0
  310,20200507,   15,    0,    0
